# nlmax, ncor, nside =        1000           6        2048
    0   0.1286087193899596E-09  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
    1   0.1283179611490476E-09  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
    2   0.1277387091016102E-09  0.3806488366847939E-13  0.3921333205236911E-14 -0.2650497376069251E-13  0.1357567446978240E-12  0.3517121213799742E-19
    3   0.1268754613885150E-09  0.3796806758826607E-13  0.3919623626054487E-14 -0.2563659791176577E-13  0.1356265220520124E-12  0.1743004202420929E-18
    4   0.1257348903310006E-09  0.3783926287712302E-13  0.3917375468744010E-14 -0.2448629502497755E-13  0.1354516949273749E-12  0.5167371745321465E-18
    5   0.1243257512980525E-09  0.3767871297393470E-13  0.3914615239987066E-14 -0.2306050612974201E-13  0.1352312497552649E-12  0.1187958546838853E-17
    6   0.1226587682543230E-09  0.3748672345449614E-13  0.3911375755244522E-14 -0.2136726350862531E-13  0.1349639373945111E-12  0.2333918099668093E-17
    7   0.1207464905061641E-09  0.3726366209412610E-13  0.3907695847000010E-14 -0.1941617574425706E-13  0.1346482823519047E-12  0.4114391285741504E-17
    8   0.1186031301849155E-09  0.3700995994364296E-13  0.3903620120499080E-14 -0.1721840867199168E-13  0.1342825976706471E-12  0.6695567166847357E-17
    9   0.1162443784975215E-09  0.3672611191586955E-13  0.3899198602434340E-14 -0.1478666038733014E-13  0.1338650001317347E-12  0.1024216446502392E-16
   10   0.1136872060619252E-09  0.3641267745093131E-13  0.3894486342936288E-14 -0.1213512969994678E-13  0.1333934279282191E-12  0.1490936774650041E-16
   11   0.1109496507903036E-09  0.3607028120626764E-13  0.3889542967406423E-14 -0.9279476917259288E-14  0.1328656607249693E-12  0.2083488627514284E-16
   12   0.1080505975664128E-09  0.3569961391985498E-13  0.3884432197290703E-14 -0.6236775822485857E-14  0.1322793427600442E-12  0.2813143375638475E-16
   13   0.1050095520153735E-09  0.3530143293242299E-13  0.3879221288368810E-14 -0.3025455492804957E-14  0.1316320072193593E-12  0.3687991147591258E-16
   14   0.1018464125241237E-09  0.3487656242530326E-13  0.3873980395398597E-14  0.3347690721007550E-15  0.1309211021569820E-12  0.4712355152115902E-16
   15   0.9858124642253506E-10  0.3442589407651298E-13  0.3868781945651767E-14  0.3822978600524654E-14  0.1301440206712587E-12  0.5886324286298645E-16
   16   0.9523407004429074E-10  0.3395038680410985E-13  0.3863699881287859E-14  0.7417144651537231E-14  0.1292981304515725E-12  0.7205421819374320E-16
   17   0.9182463937316027E-10  0.3345106668065856E-13  0.3858808896160986E-14  0.1109423894607428E-13  0.1283808067653734E-12  0.8660423283033610E-16
   18   0.8837225269260475E-10  0.3292902643199423E-13  0.3854183610978288E-14  0.1483035773201270E-13  0.1273894667222453E-12  0.1023733122922648E-15
   19   0.8489556769947494E-10  0.3238542436816739E-13  0.3849897677272522E-14  0.1860086154417668E-13  0.1263216041856055E-12  0.1191750895571850E-15
   20   0.8141243661152626E-10  0.3182148314248460E-13  0.3846022866053635E-14  0.2238053070413495E-13  0.1251748267880343E-12  0.1367796991606289E-15
   21   0.7793975992167478E-10  0.3123848784118181E-13  0.3842628095020005E-14  0.2614373627748934E-13  0.1239468930332443E-12  0.1549181393504343E-15
   22   0.7449336115045742E-10  0.3063778369869503E-13  0.3839778441401921E-14  0.2986462614041513E-13  0.1226357504675810E-12  0.1732879659904371E-15
   23   0.7108788284377586E-10  0.3002077311340733E-13  0.3837534115119642E-14  0.3351732506146857E-13  0.1212395734395649E-12  0.1915601355392961E-15
   24   0.6773670481335185E-10  0.2938891210563539E-13  0.3835949423363000E-14  0.3707614753084321E-13  0.1197568007306544E-12  0.2093867790920467E-15
   25   0.6445188435339013E-10  0.2874370604149330E-13  0.3835071719332232E-14  0.4051582134603750E-13  0.1181861720239391E-12  0.2264096591771558E-15
   26   0.6124411912532655E-10  0.2808670505619307E-13  0.3834940408147523E-14  0.4381172025717577E-13  0.1165267646027266E-12  0.2422690457759383E-15
   27   0.5812272999987753E-10  0.2741949830697858E-13  0.3835585912249546E-14  0.4694010181059894E-13  0.1147780262905426E-12  0.2566127285625919E-15
   28   0.5509566464694266E-10  0.2674370786665019E-13  0.3837028717201205E-14  0.4987834816388152E-13  0.1129398074292029E-12  0.2691048939985159E-15
   29   0.5216951959756461E-10  0.2606098190375695E-13  0.3839278468053062E-14  0.5260520584772013E-13  0.1110123899129871E-12  0.2794345973834810E-15
   30   0.4934957921162558E-10  0.2537298721946499E-13  0.3842333139580646E-14  0.5510102055562566E-13  0.1089965129589360E-12  0.2873235808395671E-15
